aligned_residues,backbone_angle_rmse_deg,base_planarity_rms,c1_distance_rmsd,c1_kabsch_rmsd,c1_lddt,clash_penetration_rms,covalent_bond_rmse,length,method,o3_p_bond_rmse,pred_c1_count,ref_c1_count,sugar_closure_rmse,target_id
19,1.1721900701522827,0.0025647871661931276,0.9795746803283691,4.89079475402832,79.43037974683544,0.018236985430121422,0.01876196265220642,19,AF3,0.020579809322953224,19,19,0.00903135072439909,8i43_A
19,2.5224833488464355,0.002552725374698639,1.3056567907333374,4.404103755950928,71.83544303797468,0.06971464306116104,0.019678903743624687,19,NuFold,0.07873959839344025,19,19,0.00815537292510271,8i43_A
19,0.7587338089942932,0.0004961102968081832,1.165895700454712,5.166861057281494,75.63291139240506,0.13858239352703094,0.01845685765147209,19,RoseTTAFoldNA,0.26263293623924255,19,19,0.01810481771826744,8i43_A
19,20.79530906677246,0.4927026033401489,1.3695247173309326,5.762300491333008,69.62025316455697,0.17025655508041382,0.22949601709842682,19,RhoFold+,0.21150138974189758,19,19,0.20127810537815094,8i43_A
19,2.210771083831787,0.019689198583364487,1.7623742818832397,4.4598565101623535,70.56962025316456,0.017699914053082466,0.018768342211842537,19,trRosettaRNA,0.018396196886897087,19,19,0.00995100848376751,8i43_A
19,1.1522647142410278,0.003443601308390498,2.9678592681884766,10.737116813659668,60.75949367088608,1.0424220561981201,0.0279610026627779,19,Ours,0.0003337767848279327,19,19,0.018362969160079956,8i43_A
21,1.4192616939544678,0.003843390615656972,1.1537944078445435,2.244481086730957,79.73684210526316,0.04382607340812683,0.018589507788419724,21,AF3,0.020619263872504234,21,21,0.0065867784433066845,8apo_ED
21,3.5310211181640625,0.0030287194531410933,2.3295176029205322,3.5919172763824463,69.21052631578948,0.2827567756175995,0.019552111625671387,21,NuFold,0.057661645114421844,21,21,0.008138270117342472,8apo_ED
21,0.7577987909317017,0.0006632243748754263,0.9389693737030029,1.4530667066574097,82.63157894736842,0.020931996405124664,0.02000417187809944,21,RoseTTAFoldNA,0.06922735273838043,21,21,0.025930577889084816,8apo_ED
21,19.401519775390625,0.5106399655342102,0.849764883518219,1.3703941106796265,86.31578947368422,0.14966490864753723,0.23092120885849,21,RhoFold+,0.2490735948085785,21,21,0.19443821907043457,8apo_ED
21,2.124863862991333,0.027899112552404404,0.6519572734832764,0.8782010674476624,85.78947368421052,0.022676989436149597,0.018438594415783882,21,trRosettaRNA,0.016839392483234406,21,21,0.009855890646576881,8apo_ED
21,1.1066302061080933,0.003200934734195471,2.8789706230163574,8.697938919067383,59.473684210526315,1.028603434562683,0.027662986889481544,21,Ours,0.00030735990731045604,21,21,0.01539712492376566,8apo_ED
21,0.8739705085754395,0.0030192413832992315,6.421209812164307,10.652535438537598,34.5,0.03100544773042202,0.018586110323667526,21,AF3,0.021784216165542603,21,21,0.010926635935902596,8utg_A
21,3.306365489959717,0.002894702134653926,7.344667434692383,10.50066089630127,28.999999999999996,0.16811682283878326,0.018658943474292755,21,NuFold,0.08874417096376419,21,21,0.008113604038953781,8utg_A
21,0.7588198781013489,0.0006911399541422725,18.669742584228516,17.512222290039062,22.5,0.0690523087978363,0.017717262730002403,21,RoseTTAFoldNA,0.22403070330619812,21,21,0.018204903230071068,8utg_A
21,18.393321990966797,0.6113811135292053,18.281269073486328,17.342042922973633,22.5,0.10559087246656418,0.2378200888633728,21,RhoFold+,0.19872310757637024,21,21,0.21588250994682312,8utg_A
21,1.9798405170440674,0.022570215165615082,16.231586456298828,15.742648124694824,23.25,0.022233247756958008,0.017085576429963112,21,trRosettaRNA,0.016606230288743973,21,21,0.009459612891077995,8utg_A
21,1.377394676208496,0.0035184528678655624,3.780618906021118,10.264666557312012,40.25,1.349209189414978,0.027461258694529533,21,Ours,0.0003415683167986572,21,21,0.018652433529496193,8utg_A
19,1.0666836500167847,0.0032374823931604624,5.492750644683838,8.97234058380127,31.874999999999996,0.11355234682559967,0.017622431740164757,22,AF3,0.021931780502200127,22,19,0.011046641506254673,7sxp_A
19,3.278416395187378,0.002872870536521077,5.541090488433838,8.385638236999512,34.375,0.14465568959712982,0.017894458025693893,22,NuFold,0.07143793255090714,22,19,0.008211314678192139,7sxp_A
19,0.7455307245254517,0.0006219138740561903,7.491146087646484,11.185673713684082,25.0,0.21215172111988068,0.0216564629226923,22,RoseTTAFoldNA,0.45728105306625366,22,19,0.03564095497131348,7sxp_A
19,18.51643180847168,0.5800297260284424,15.787636756896973,15.663394927978516,29.375,0.1190209835767746,0.24715472757816315,22,RhoFold+,0.19156880676746368,22,19,0.19958190619945526,7sxp_A
19,2.346912145614624,0.03066495805978775,7.274587631225586,9.449187278747559,25.937500000000004,0.023304471746087074,0.017822422087192535,22,trRosettaRNA,0.019414620473980904,22,19,0.012204781174659729,7sxp_A
19,1.433220386505127,0.003927951212972403,3.3387231826782227,10.400795936584473,48.4375,1.5973668098449707,0.02751266025006771,22,Ours,0.0004515555629041046,22,19,0.020417409017682076,7sxp_A
22,0.9829782843589783,0.00422916142269969,5.842911243438721,7.131591796875,56.30630630630631,0.05426916852593422,0.01906600408256054,22,AF3,0.01890712045133114,22,22,0.007661609444767237,9aus_C
22,1.7301558256149292,0.0031432178802788258,6.189277648925781,8.954803466796875,52.702702702702695,0.03214864432811737,0.018848123028874397,22,NuFold,0.08482395112514496,22,22,0.008252383209764957,9aus_C
22,0.7511577010154724,0.0005988504854030907,18.285541534423828,16.10820770263672,27.927927927927925,0.024652976542711258,0.020624827593564987,22,RoseTTAFoldNA,0.14042022824287415,22,22,0.02930164337158203,9aus_C
22,18.10179901123047,0.629115879535675,17.52496910095215,14.686768531799316,32.207207207207205,0.12933394312858582,0.23404332995414734,22,RhoFold+,0.18882067501544952,22,22,0.2232043594121933,9aus_C
22,1.851945400238037,0.02236619032919407,26.88197898864746,20.699655532836914,29.72972972972973,0.02400040253996849,0.017524167895317078,22,trRosettaRNA,0.018713651224970818,22,22,0.010539003647863865,9aus_C
22,1.3176281452178955,0.0031536072492599487,3.429124355316162,11.046431541442871,47.52252252252252,1.4895468950271606,0.02739531733095646,22,Ours,0.0003716319624800235,22,22,0.017091473564505577,9aus_C
23,0.9954845905303955,0.004349653609097004,9.17199420928955,12.891419410705566,33.47457627118644,0.03015737794339657,0.01723369024693966,23,AF3,0.016933398321270943,23,23,0.008420237340033054,8q4o_A
23,2.5011208057403564,0.002833270700648427,8.828049659729004,11.723627090454102,27.33050847457627,0.1429905742406845,0.018467213958501816,23,NuFold,0.07544633001089096,23,23,0.008178968913853168,8q4o_A
23,0.7575626373291016,0.0005241469480097294,6.968111991882324,12.197587013244629,38.771186440677965,0.2017325758934021,0.021656397730112076,23,RoseTTAFoldNA,0.21396832168102264,23,23,0.03469949960708618,8q4o_A
